,Method,$\widehat{\beta}$,seed,label_ct
0,active (partial),0.4040404040404041,78,800.0
1,active (shifted),0.37373737373737376,78,800.0
2,active (partial+q_cv),0.38383838383838387,78,800.0
3,active (partial+sep_cv),0.4040404040404041,78,800.0
4,sample everything,0.393939393939394,78,800.0
